MEC_NO,IDCARD_UNIQUE,IDCARD_NUM,index,IDCARD_x,term_day,amt_median,amt_repay_median,no_mec,amt_1st,IDCARD_y,term_amt_repay_median,term_amt_1st,rate_amt_repay_median,rate_amt_1st
10015646943,9338,4222,55.0,10205.0,13.120810185185185,1190.0,40.0,10015646943,40.0,430033,30.0,30.0,0.23376810177617946,0.23376810177617946
10015652296,187,98,57.0,189.0,10.173142361111113,1342.95,1248.905,10015652296,1000.0,187,1.0,1.0,-2.512543616985228,-9.162388574034592
10015656761,340,1312,59.0,2714.0,13.98855324074074,750.0,1020.0,10015656761,1000.0,349,1.0,1.0,9.393394566159003,8.697587561258336
10015676913,7031,41,61.0,11958.0,1.9830902777777777,6000.0,1513.38,10015676913,1503.38,7031,4.0,4.0,1.6417810305884957,0.4147399015985987
10015691233,62953,54124,63.0,86307.0,13.738831018518518,2970.0,3616.0,10015691233,2523.8,98726,1.0,1.0,5.77855366905395,-3.9913167912258065
10015704199,92,9,69.0,573.0,0.041284722222222216,0.01,2500.08,10015704199,1800.0,23860,0.0,0.0,-8841.042893187554,-8841.042893187554
10015706162,11231,3831,70.0,28210.0,19.137471064814815,1500.0,1500.0,10015706162,1070.0,162228,1.0,1.0,0.0,-5.467458734697025
10015763879,29429,22250,73.0,32585.0,30.030428240740736,1300.0,1215.98,10015763879,1013.32,58281,1.0,1.0,-0.7855442679710811,-2.6803121964050174
10015767991,69310,9063,76.0,75586.0,55.058634259259264,2000.0,1050.1,10015767991,1050.1,69833,2.0,2.0,0.3321277442860782,0.3321277442860782
10015880720,631,618,85.0,772.0,27.98934027777777,1000.0,1030.0,10015880720,1030.0,735,1.0,1.0,0.3912203678731859,0.3912203678731859
10015923927,310,11946,89.0,23372.0,7.525607638888888,1500.0,1500.0,10015923927,1500.0,310,1.0,1.0,0.0,0.0
10015924266,67212,52990,90.0,80778.0,6.81337962962963,805.0,2000.0,10015924266,1000.0,67442,0.0,1.0,-53.57106455843282,12.97684172533466
10015994345,7529,9349,93.0,25691.0,14.091851851851851,800.0,2000.0,10015994345,1000.0,7851,0.0,1.0,-25.90149285113541,6.475373212783852
10016140449,6,990,100.0,6550.0,21.48726851851852,1100.0,150.4,10016140449,150.4,177,7.0,7.0,-0.7288882795093414,-0.7288882795093414
10016294780,135,73,108.0,155.0,13.145486111111113,810.0,1500.0,10016294780,1000.0,135,1.0,1.0,23.65267615802495,6.513055753659043
10016377761,1446,870,112.0,7313.0,14.766047453703706,1800.0,1674.0,10016377761,1623.52,7209,1.0,1.0,-1.730320864815547,-2.423547827163871
10016738204,72,126,116.0,183.0,3.000335648148148,9600.0,4857.0,10016738204,4500.0,6141,2.0,2.0,1.444630037534381,-7.603315987023057
10017051785,4047,1744,117.0,4281.0,31.35473958333333,800.0,1030.0,10017051785,1030.0,4190,1.0,1.0,3.3467826999838874,3.3467826999838874
10017070168,789,170,118.0,1145.0,9.962349537037037,1280.0,800.0,10017070168,580.0,852,2.0,2.0,9.159485888420175,-3.4348072081575656
10017139343,131,255,120.0,462.0,14.020289351851853,875.0,1200.0,10017139343,816.0,145,1.0,1.0,9.669659817222088,-1.7554151668187792
10017279592,542,9,124.0,542.0,1.8764236111111108,384.7,401.04,10017279592,200.52,542,1.0,2.0,8.262126522687039,8.262126522687039
10017309950,34160,10388,126.0,38990.0,7.297858796296296,1120.0,1400.0,10017309950,1992.0,36521,1.0,1.0,12.503667520438993,38.93999313508144
10017331956,108,31,127.0,415.0,0.6534722222222222,100.0,3063.34,10017331956,3063.34,7706,0.0,0.0,-558.5547290116897,-558.5547290116897
10017439019,5190,1548,131.0,9043.0,27.02354166666667,1500.0,1689.0,10017439019,1500.0,11517,1.0,1.0,1.7018494676709348,0.0
10017737464,5670,126,135.0,6032.0,6.0196296296296286,7376.0,1086.66,10017737464,543.33,5780,7.0,14.0,1.895828959592716,1.895828959592716
10017740966,23139,20135,136.0,28409.0,20.048553240740738,1615.0,2010.0,10017740966,1717.0,24542,1.0,1.0,4.452812367479094,1.1498401556528295
10017908304,12360,4540,137.0,21068.0,9.888449074074074,1650.0,900.0,10017908304,560.0,21861,2.0,3.0,3.3556140030913015,0.6711228006182602
10018258481,206,209,140.0,258.0,13.956145833333334,1000.0,2400.0,10018258481,1200.0,209,0.0,1.0,-26.153352391046358,5.230670478209272
10018270597,13745,12081,141.0,16615.0,7.5135648148148135,500.0,603.5,10018270597,10.0,32588,1.0,50.0,10.05581263517219,0.0
10018314871,364,184,143.0,657.0,0.009826388888888891,689.23,11.9,10018314871,9.9,140493,58.0,70.0,52.27649701164588,203.17772549886442
10018340553,5859,8105,144.0,13115.0,7.1897569444444445,741.0,2000.0,10018340553,1000.0,5944,0.0,1.0,-50.7666674715669,17.744354757268322
10019331834,123564,120141,165.0,158077.0,14.093298611111114,850.0,1009.24,10019331834,1009.24,123792,1.0,1.0,4.85191801427201,4.85191801427201
10019510547,1463,1739,169.0,3372.0,14.492916666666664,900.0,1113.65,10019510547,1004.55,1795,1.0,1.0,5.978571907732708,2.9256245867233983
10019924787,668,198,172.0,741.0,6.145034722222222,720.0,1000.0,10019924787,1000.0,683,1.0,1.0,23.099046768789165,23.099046768789165
10020249958,709,259,173.0,1376.0,8.528738425925926,150.0,280.0,10020249958,200.0,1229,1.0,1.0,37.090284346361635,14.26549397936986
10020310661,10876,276,175.0,11595.0,29.94204861111111,2000.0,545.02,10020310661,363.35,10880,4.0,6.0,1.0976069281981045,1.0977288303447306
10020666329,55992,31932,177.0,56878.0,6.8053587962962965,800.0,2013.6,10020666329,1006.8,57033,0.0,1.0,-53.6342037099712,13.864441659027554
10020736591,1647,1,179.0,2599.0,0.0,1.0,449.0,10020736591,499.0,113047,0.0,0.0,-inf,-inf
10020829549,2831,11,181.0,6973.0,0.14884259259259258,2030.0,1725.0,10020829549,1725.0,95439,1.0,1.0,-368.44226187284056,-368.44226187284056
10020962372,3349,553,184.0,4168.0,7.069201388888889,1000.0,1668.5,10020962372,2518.75,3368,1.0,0.0,34.516275117513864,-51.63242351161386
10020981510,54977,47447,185.0,83212.0,9.595891203703703,1776.0,2633.0,10020981510,1675.5,56837,1.0,1.0,18.35462050397793,-2.1524379937570384
10021297721,627,562,195.0,774.0,9.040648148148149,680.0,1000.0,10021297721,800.0,648,1.0,1.0,18.99915836427464,7.12468438660299
10021312187,74345,69387,196.0,101304.0,8.589560185185185,1100.0,1357.34,10021312187,1317.84,80479,1.0,1.0,9.941148215756979,8.415247250021373
10021340126,28607,17703,198.0,30187.0,6.43025462962963,850.0,1720.0,10021340126,1000.0,28836,0.0,1.0,-56.762915471206355,10.016985083154063
10021342520,6881,6241,199.0,9057.0,7.088773148148147,1600.0,1800.0,10021342520,1200.0,41988,1.0,1.0,6.436233611442194,-12.872467222884389
10021437873,2434,2099,203.0,4435.0,19.80298611111111,820.0,1000.0,10021437873,1000.0,2437,1.0,1.0,4.045953007791949,4.045953007791949
10021466655,12144,11683,204.0,14121.0,6.233547453703704,900.0,3020.0,10021466655,1020.0,12233,0.0,1.0,-58.55413834752037,7.80721844633605
10021604488,17114,13106,207.0,18457.0,7.163854166666668,960.0,2200.0,10021604488,1000.0,17134,0.0,1.0,-50.95022756023439,2.1229261483430992
10021644500,6336,5115,208.0,9484.0,6.532060185185184,805.0,1645.0,10021644500,1000.0,6436,0.0,1.0,-55.87823590906676,13.53572174194785
10021646243,199,2,209.0,206.0,10.156973379629632,1000.0,2060.0,10021646243,2060.0,217,0.0,0.0,-35.93590200128195,-35.93590200128195
10021673823,20712,22383,211.0,58694.0,14.02875,1261.0,768.0,10021673823,409.0,45840,2.0,3.0,5.6740282767283645,-0.7015162233045978
10021868071,21765,13689,218.0,25596.0,8.892997685185183,750.0,1200.0,10021868071,618.0,28878,1.0,1.0,24.626116834015534,-7.22366093797789
10021902553,48189,13733,219.0,82736.0,1.8046817129629629,688.8,1117.0,10021902553,607.2,189070,1.0,1.0,125.73198480105115,-23.960135356762642
10021981163,1296,2836,220.0,6056.0,7.193831018518519,960.0,1000.0,10021981163,1000.0,1296,1.0,1.0,2.1140798684572526,2.1140798684572526
10022031282,29987,20674,221.0,43037.0,8.075486111111111,825.0,1200.0,10022031282,800.0,30303,1.0,1.0,20.544780664140525,-1.3696520442760352
10022031556,8918,5358,222.0,12495.0,14.676429398148148,1760.0,1440.0,10022031556,560.0,12105,1.0,3.0,-4.521783504917758,-1.1304458762294396
10022075025,18618,10178,223.0,23560.0,13.303611111111113,1840.0,1700.0,10022075025,800.0,18795,1.0,2.0,-2.0875338957585705,-3.57862953558612
10022103258,343,20,226.0,415.0,2.9299305555555555,84.0,450.0,10022103258,325.0,19890,0.0,0.0,-124.57633144509492,-124.57633144509492
10022144438,293,246,227.0,1288.0,10.987395833333334,765.0,700.0,10022144438,175.0,295,1.0,4.0,-2.822604406527161,-2.822604406527161
10022162198,3892,1979,229.0,5854.0,6.852118055555557,740.0,1100.0,10022162198,312.0,3911,1.0,2.0,25.914259813956274,-8.350150384497022
10022168653,1407,568,232.0,1874.0,6.86380787037037,750.0,1000.0,10022168653,250.0,1420,1.0,3.0,17.72582638740171,0.0
10022203189,1113,358,235.0,1645.0,7.740028935185184,1125.0,1500.0,10022203189,375.0,1148,1.0,3.0,15.71914881526935,0.0
10022206073,3905,3308,236.0,5654.0,6.280769675925926,805.0,1860.0,10022206073,1000.0,3910,0.0,1.0,-58.11389667719201,14.077279319319805
10022219352,142,564,237.0,1031.0,6.013761574074074,1050.0,2297.875,10022219352,1505.25,142,0.0,1.0,-60.69412554923218,26.315238720274237
10022283071,728,414,238.0,984.0,6.583819444444443,790.0,1040.0,10022283071,1000.0,731,1.0,1.0,17.54396974105822,14.736934582488903
10022294297,1065,661,239.0,1323.0,13.845289351851852,1625.4,1871.1,10022294297,1549.8,1141,1.0,1.0,3.9850679319512645,-1.2261747482927
10022296857,408,221,240.0,538.0,14.774317129629631,800.0,1000.0,10022296857,1000.0,414,1.0,1.0,6.176258381309532,6.176258381309532
10022318976,308,773,241.0,1822.0,6.052939814814816,1087.5,1500.0,10022318976,1500.0,308,1.0,1.0,22.872898144999095,22.872898144999095
10022339124,2681,2359,242.0,4686.0,6.118298611111111,805.0,1265.0,10022339124,1000.0,2684,1.0,1.0,34.08977590480028,14.451100655295772
10022368048,2523,1421,244.0,3986.0,6.737384259259258,1050.0,1581.0,10022368048,1010.0,3720,1.0,1.0,27.3972371446732,-2.0638220071316913
10022381049,3018,1118,246.0,4185.0,7.259484953703704,1125.0,1500.0,10022381049,375.0,3062,1.0,3.0,16.759683013681812,0.0
10022383972,1824,2196,248.0,6142.0,6.163333333333332,1150.0,1000.0,10022383972,1030.0,1831,1.0,1.0,-7.7245044324781915,-6.179603545982554
10022395363,30,9,253.0,103.0,0.6459259259259259,57.5,300.0,10022395363,225.0,2220,0.0,0.0,-565.0802752293578,-565.0802752293578
10022401667,108,234,254.0,681.0,15.923379629629625,1200.0,1522.05,10022401667,1522.05,110,1.0,1.0,6.1517640901888395,6.1517640901888395
10022444505,5620,10411,255.0,19994.0,13.159085648148148,800.0,1000.0,10022444505,1000.0,5620,1.0,1.0,6.934372375092902,6.934372375092902
10022451722,47464,51195,257.0,98965.0,6.208408564814816,1200.0,1609.34,10022451722,1307.59,68197,1.0,1.0,20.054669732749318,5.271124044917423
10022459736,14699,8313,258.0,18661.0,7.185381944444443,750.0,1250.0,10022459736,1000.0,14783,1.0,1.0,33.86505202016053,16.932526010080267
10022463864,426,1528,259.0,4052.0,5.9402141203703716,1125.0,1431.9,10022463864,1356.9,441,1.0,1.0,16.76235872685878,12.665985626453407
10022464695,5079,1963,260.0,6935.0,6.835844907407408,750.0,1250.0,10022464695,375.0,5146,1.0,2.0,35.59667263217956,0.0
10022468641,8845,4383,262.0,34217.0,2.2814699074074074,2500.0,1654.4,10022468641,530.25,78010,2.0,5.0,51.7582106240393,9.679066959552351
10022473621,266,165,264.0,269.0,6.3613078703703705,1000.0,2470.0,10022473621,1210.0,268,0.0,1.0,-57.3781378669146,12.049408952052065
10022476574,2137,713,265.0,3322.0,7.427436342592593,750.0,1250.0,10022476574,375.0,2171,1.0,2.0,32.76141620197264,0.0
10022504516,591,207,280.0,744.0,6.954826388888888,840.0,1200.0,10022504516,1000.0,658,1.0,1.0,22.4920886132375,9.996483828105555
10022542537,2569,2239,282.0,4501.0,6.251255787037038,840.0,1870.0,10022542537,850.0,2577,0.0,1.0,-58.38826828313199,0.6950984319420475
10022557260,2151,2120,283.0,2903.0,8.867482638888891,516.0,1000.0,10022557260,600.0,2211,1.0,1.0,38.60896660612691,6.700729741559216
10022564340,1400,521,284.0,1884.0,7.016435185185184,1050.0,1510.0,10022564340,1010.0,2344,1.0,1.0,22.790029079494953,-1.981741659086518
10022575636,3340,3240,285.0,4742.0,6.057245370370372,900.0,2000.0,10022575636,800.0,3355,0.0,1.0,-60.25841412755614,-6.695379347506237
10022578901,3497,1352,286.0,4846.0,8.027627314814815,1125.0,1500.0,10022578901,375.0,3499,1.0,3.0,15.155993408180949,0.0
10022581269,5114,7413,287.0,12301.0,14.33193287037037,2000.0,2536.75,10022581269,2536.75,5810,1.0,1.0,6.834868393956451,6.834868393956451
10022581883,225,165,288.0,319.0,6.121261574074074,750.0,1445.0,10022581883,1000.0,233,1.0,1.0,55.25549418862987,19.876077046269735
10022590579,1143,516,289.0,1753.0,6.664282407407407,1110.0,1020.0,10022590579,390.0,1155,1.0,3.0,-4.4407773838785625,2.9605182559190415
10022593987,681,685,290.0,1205.0,6.0606481481481485,640.0,1040.0,10022593987,600.0,689,1.0,1.0,37.64036360858605,-3.764036360858605
10022646308,2322,2247,294.0,4017.0,6.063032407407408,400.0,640.0,10022646308,500.0,2393,1.0,1.0,36.12053924244911,15.050224684353797
10022717572,220,145,296.0,703.0,11.224583333333333,700.0,672.0,10022717572,210.0,224,1.0,3.0,-1.300716433423661,-3.2517910835591524
10022837389,10863,9571,297.0,13397.0,6.1671875,900.0,2125.0,10022837389,1000.0,10876,0.0,1.0,-59.18419052444895,6.576021169383217
10022847298,252,122,299.0,544.0,6.971950231481483,1200.03,1800.0,10022847298,854.0,254,1.0,1.0,26.17435678444338,-15.095942593997936
10022849218,141,53,300.0,269.0,6.929895833333332,1125.0,1530.0,10022849218,435.0,141,1.0,3.0,18.961323973724955,8.427255099433314
10022849248,3242,3880,301.0,6744.0,7.167181712962963,833.0,1195.1,10022849248,1000.0,3243,1.0,1.0,22.137469323423907,10.209769061065433
10022869094,47932,47934,304.0,59465.0,7.121168981481483,1530.0,3600.0,10022869094,1150.0,48118,0.0,1.0,-51.255629651420755,-12.730156384012998
10022869339,3807,3586,305.0,3907.0,7.215335648148147,900.0,2456.0,10022869339,1000.0,4020,0.0,1.0,-50.586697251385544,5.620744139042838
10022869645,164,130,306.0,374.0,7.216724537037037,930.0,750.0,10022869645,532.5,172,1.0,2.0,-9.789089347634611,7.341817010725959
10022875564,127,105,307.0,308.0,6.082482638888888,805.0,2000.0,10022875564,1000.0,127,0.0,1.0,-60.008391584439615,14.536194234740032
10022876477,8550,7834,308.0,10399.0,7.105873842592592,910.0,1575.0,10022876477,1200.0,9153,1.0,1.0,37.536659830911375,16.369370452577893
10022885424,9144,7066,310.0,10565.0,6.1863078703703716,1500.0,3500.0,10022885424,1575.0,9574,0.0,1.0,-59.00126661141221,2.950063330570611
10022885866,14130,14204,311.0,20329.0,6.172430555555557,1360.0,3800.0,10022885866,1500.0,14190,0.0,1.0,-59.13391762204244,6.087315049327898
10022888042,191,80,312.0,311.0,8.225787037037037,1000.0,870.0,10022888042,320.0,195,1.0,3.0,-5.768444987252148,-1.774906149923738
10022907653,5386,2789,315.0,8660.0,7.222743055555557,1125.0,1500.0,10022907653,375.0,5426,1.0,3.0,16.84493906689421,0.0
10022934754,3264,1741,316.0,4696.0,7.89712962962963,1258.0,1890.0,10022934754,450.0,3828,1.0,3.0,23.219883407356722,3.380109609931675
10022935369,211,88,317.0,467.0,8.878368055555555,750.0,732.5,10022935369,500.0,215,1.0,2.0,-0.9592603745839804,13.703719636914004
10022941802,3100,3001,319.0,4694.0,6.6607870370370375,1125.0,2756.0,10022941802,1400.0,3139,0.0,1.0,-54.798329081898615,13.39514710890855
10022942574,1590,1088,320.0,3061.0,6.875752314814815,700.0,1000.0,10022942574,1000.0,1604,1.0,1.0,22.75075719227453,22.75075719227453
10022946518,468,10,321.0,795.0,0.4212210648148148,6065.75,1304.0,10022946518,543.33,2441,5.0,11.0,64.89230666559864,-12.731320572456013
10022962401,644,342,322.0,1010.0,6.316516203703704,755.0,1000.0,10022962401,1000.0,645,1.0,1.0,18.751429552230356,18.751429552230356
10022962812,685,182,323.0,1130.0,12.036244212962966,800.0,1000.0,10022962812,300.0,693,1.0,3.0,7.581268573939724,3.790634286969862
10022990154,199,471,325.0,798.0,7.250416666666666,962.4,1000.0,10022990154,1000.0,199,1.0,1.0,1.9668087410346051,1.9668087410346051
10022992771,2112,2120,326.0,4283.0,9.279606481481483,1278.0,1500.01,10022992771,542.0,2807,1.0,2.0,6.832898789417295,-5.9708227789151636
10022993421,68,9,327.0,122.0,7.699108796296296,790.0,1000.0,10022993421,1000.0,155,1.0,1.0,12.60214903085547,12.60214903085547
10023025569,1978,1968,329.0,4265.0,12.825636574074075,1700.0,1482.0,10023025569,1020.0,2527,1.0,2.0,-3.649400330550084,5.691725286179031
10023025608,133,79,330.0,227.0,12.813854166666667,2100.0,1656.415,10023025608,690.33,224,1.0,3.0,-6.016870226259479,-0.39349708683518614
10023025664,24203,21310,331.0,41430.0,7.0168171296296284,1700.0,1637.67,10023025664,798.0,30085,1.0,2.0,-1.907220524609167,-3.1822707293334447
10023046296,57799,51051,332.0,75187.0,5.988171296296296,1480.0,3500.0,10023046296,1500.0,59285,0.0,1.0,-60.95350014882736,0.8236959479571265
10023046767,3345,5066,333.0,7437.0,6.145868055555557,1360.0,3290.0,10023046767,1500.0,3347,0.0,1.0,-59.38949497460465,6.1136244826798904
10023047437,643,385,335.0,1809.0,10.924247685185184,1760.0,1320.0,10023047437,660.0,667,1.0,3.0,-8.35297794682446,4.17648897341223
10023048287,108,88,336.0,165.0,10.88582175925926,1500.0,1510.0,10023048287,831.0,166,1.0,2.0,0.22353235126816123,3.6212240905442115
10023049365,7916,19185,337.0,25040.0,6.1094733796296286,840.0,1326.17,10023049365,1204.73,8144,1.0,1.0,34.577847770080176,25.94067593060316
10023050218,2424,1168,338.0,2429.0,8.038981481481484,1000.0,1000.0,10023050218,175.0,2825,1.0,6.0,0.0,2.2701880881353587
10023052150,11780,10666,339.0,14506.0,8.207488425925927,820.0,2050.0,10023052150,1000.0,11808,0.0,1.0,-44.471582664318234,9.762054731191807
10023056402,8454,104,340.0,15439.0,6.2146875,911.0,838.0,10023056402,393.41,216271,1.0,2.0,-4.706283145215031,-8.005838917435648
10023057184,393,300,341.0,1510.0,6.333055555555554,1110.0,1500.0,10023057184,390.0,393,1.0,3.0,20.249821293726736,3.1153571221118055
10023057239,213,104,342.0,663.0,9.891597222222222,1760.0,1560.0,10023057239,660.0,214,1.0,3.0,-4.193182536192526,4.612500789811779
10023061119,2936,2577,343.0,3589.0,6.1140625,800.0,1000.0,10023061119,1000.0,2936,1.0,1.0,14.924610273447483,14.924610273447483
10023062093,39888,27525,344.0,49397.0,7.000127314814815,1050.0,1800.0,10023062093,1000.0,49963,1.0,1.0,37.24422056760589,-2.4829480378403925
10023062296,20036,2471,345.0,22791.0,6.055509259259258,1050.0,1200.0,10023062296,1000.0,38885,1.0,1.0,8.6108128830168,-2.8702709610056
10023064460,40071,41703,346.0,62942.0,6.04150462962963,1184.0,3000.0,10023064460,1500.0,42239,0.0,1.0,-60.4154134402072,16.124383992487733
10023066912,1536,165,347.0,1845.0,1.0659432870370371,729.47,742.0,10023066912,699.785,16394,1.0,1.0,5.881693653562746,-13.93440352003279
10023068417,3721,4853,349.0,7185.0,6.108194444444446,800.0,2450.0,10023068417,1000.0,3728,0.0,1.0,-59.755792537347354,14.938948134336838
10023076332,285,281,351.0,725.0,12.049814814814816,1900.0,1700.69,10023076332,908.33,419,1.0,2.0,-3.177517711967295,-1.3286554920242546
10023080278,163,117,353.0,368.0,13.078993055555555,1500.0,1408.0,10023080278,640.0,382,1.0,2.0,-1.7116506271985132,-4.093077586779054
10023081684,121,390,355.0,1042.0,6.060578703703704,1480.0,1008.0,10023081684,1000.0,135,1.0,1.0,-19.20697859005914,-19.532520600060142
10023098636,194,1145,358.0,2397.0,6.1315625,1050.0,2009.2,10023098636,1004.6,211,1.0,1.0,54.38029710635592,-2.5738797838079206
10023115681,2945,4671,359.0,8217.0,6.687621527777778,1050.0,1807.955,10023115681,1065.2,3026,1.0,1.0,39.39810202232639,0.7900880009226973
10023124606,255,1583,360.0,3749.0,6.53957175925926,847.0,984.0,10023124606,800.0,268,1.0,1.0,9.027774688430668,-3.0971197836221998
10023126434,745,62,361.0,1271.0,0.08669560185185185,0.01,198.0,10023126434,168.0,1123,0.0,0.0,-4210.132834924238,-4210.132834924238
10023127355,111,14,362.0,221.0,0.05681712962962963,1.0,485.595,10023127355,226.5,113,0.0,0.0,-6424.118965166022,-6424.118965166022
10023198299,92,5,371.0,112.0,6.037528935185184,1700.0,1322.5,10023198299,769.42,280,1.0,2.0,-13.424609879033111,-5.731152657231728
10023226866,4466,1812,374.0,4559.0,6.133912037037038,960.0,1200.0,10023226866,700.0,4498,1.0,1.0,14.876313753608693,-16.116006566409418
10023235693,24190,36679,376.0,65520.0,6.779641203703704,1050.0,1020.0,10023235693,1000.0,24247,1.0,1.0,-1.5382187810874592,-2.5636979684790986
10023247026,4157,4122,378.0,23210.0,14.100949074074073,1500.0,1500.0,10023247026,1500.0,14094,1.0,1.0,0.0,0.0
10023249503,492,399,379.0,2346.0,14.101770833333333,880.0,1137.0,10023249503,1104.0,1497,1.0,1.0,7.559092554328082,6.58846977497856
10023253123,311,943,380.0,1583.0,6.8855208333333335,790.0,1205.52,10023253123,803.16,326,1.0,1.0,27.88180649520038,0.8830491275434061
10023263926,682,596,382.0,860.0,6.071064814814815,820.0,1200.0,10023263926,1000.0,698,1.0,1.0,27.86106665352313,13.197347362195167
10023267190,31085,19885,383.0,35128.0,6.1377141203703705,2100.0,3000.0,10023267190,900.0,31389,1.0,2.0,25.48645446183342,-8.495484820611141
10023267469,18815,11588,384.0,28100.0,6.331041666666668,1400.0,2000.0,10023267469,600.0,18969,1.0,2.0,24.70818858327496,-8.236062861091654
10023268111,9096,6359,385.0,16825.0,6.265358796296296,1050.0,1500.0,10023268111,450.0,10684,1.0,2.0,24.967216805052345,-8.322405601684116
10023297408,47326,37837,388.0,56083.0,6.044710648148147,1480.0,3000.0,10023297408,1500.0,48917,0.0,1.0,-60.383370064507744,0.8159914873582128
10023297718,708,108,389.0,722.0,1.953680555555556,2000.0,1000.0,10023297718,472.0,5272,2.0,4.0,0.0,-10.462304055735254
10023298699,5892,2490,390.0,6175.0,6.31431712962963,900.0,1200.0,10023298699,500.0,7001,1.0,2.0,19.268380755814697,6.422793585271566
10023300185,5568,2317,391.0,5862.0,6.187962962962962,800.0,1000.0,10023300185,600.0,6297,1.0,1.0,14.74637139009427,-14.74637139009427
10023301299,4682,1609,392.0,4801.0,6.137013888888888,880.0,1000.0,10023301299,700.0,5397,1.0,1.0,8.110251691435991,-12.165377537153987
10023301754,382,128,393.0,396.0,6.321660879629628,800.0,800.0,10023301754,260.0,527,1.0,3.0,0.0,-1.4434497790610075
10023333070,4607,7372,396.0,12990.0,14.05210648148148,860.0,2024.0,10023333070,1024.0,5943,0.0,1.0,-25.974753356801983,4.953325058738983
10023333230,13941,9841,397.0,23785.0,6.2388715277777775,1050.0,1500.0,10023333230,450.0,18197,1.0,2.0,25.073215682049746,-8.357738560683249
10023338543,14009,11556,400.0,23594.0,6.788912037037037,1750.0,2000.0,10023338543,1002.47,14097,1.0,2.0,7.680591066490596,7.832359545964453
